"","JSE:AMS","JSE:CFR","JSE:FSR","JSE:KIO","JSE:MTN","JSE:NPN","JSE:SAB","JSE:SBK","JSE:SOL","JSE:VOD"
"2009-05-19",0.0266136485180901,0.00166620421774955,0.0269793979539497,0.0504210269823027,0.0407344633372144,-0.0151901654939763,-0.00715197908857945,0.0314527965518057,0.0158996393474222,-0.0346055291774743
"2009-05-20",0.0337668624708165,-0.00111049428402676,0.0213531244705694,-0.00233432864396832,0.0249795154757138,0.00888894741724755,0.0156913297946755,0.00901884074253623,0.0022649322817383,0
"2009-05-21",-0.0177344549397684,-0.0507086699920629,-0.0358461317731358,-0.057998884858792,-0.0334183841215783,-0.0489671709846569,-0.00299850299625604,-0.0287067957147542,-0.0349999860930232,-0.0213531244705703
"2009-05-22",0.0274527044086899,0.0395353693939375,0.0216614967811788,0.0573235075309935,0.00843886864586452,0.0341935961216109,-0.0191001713734202,0.0011689072049812,0.0337204373694213,0.0204724551049758
"2009-05-25",0.00405366832475451,-0.00563381771825622,-0.0348872590004401,-0.00228928299772768,0.087641430565025,0.0084323995245974,-0.00214493724031684,-0.0188684843043827,-0.040534773789151,0.00439561147303813
"2009-05-26",0.00631789252621751,-0.00908065263574631,-0.00370508019254601,-0.0252136358919,-0.0396519069507715,-0.0255135601626577,0.0319384809182193,0.00593473551981383,-0.0120379785594782,-0.0268484434967391
"2009-05-27",0.0515038428671151,0.00227790531299377,0.0242036017408864,0.0305126248613945,-0.0437966453542167,0.0331181595478771,-0.015811552979077,0.00883658180049807,0.0103271141558494,-0.0447794756282178
"2009-05-28",-0.0220597180647317,-0.0288537038966066,-0.00217627942259568,-0.0183011643824056,0,-0.0101523714640184,-0.0308358019855888,-0.024220583251287,-0.0167839005687345,-0.0153834578646723
"2009-05-29",0.0308212237333052,0.0254348971478215,-0.00875279110959415,0.0234175868205337,-0.0353453867518034,-0.027885203489534,0.0187497783389201,-0.0085692395717043,0.0471403630493281,-0.00479617226349305
"2009-06-01",0.0571964621232244,-0.00859850525523242,0.0145457110023788,0.0600695574465675,0.0395207581622827,0.0334817584176914,0.01485911440375,0.0340793136528639,0.0197374828383214,0.0312377504952792
"2009-06-02",0.0026178470421474,0.0581494149919735,-0.0285629084167658,-0.0320619324596638,0.028830381667877,-0.0153377239837091,0.0370511227162673,0.00746968926000946,-0.0152624608679748,0.0074280750085105
