,BAC US Equity,CVX US Equity,CSCO US Equity,COP US Equity,GE US Equity,GS US Equity,JPM US Equity,JNJ US Equity,MSFT US Equity,PEP US Equity,PG US Equity,SLB US Equity,GOOGL US Equity,III LN Equity,AHT LN Equity,ABF LN Equity,AZN LN Equity,BAB LN Equity,BATS LN Equity,CCL LN Equity,DCC LN Equity,EXPN LN Equity,GLEN LN Equity,IAG LN Equity,LLOY LN Equity,MERL LN Equity,PSN LN Equity,PFG LN Equity,PRU LN Equity,REL LN Equity,RIO LN Equity,SDR LN Equity,ULVR LN Equity,VOD LN Equity,WPP LN Equity,BRFS US Equity,UGP US Equity,GGB US Equity,BAK US Equity,FBR US Equity,GOL US Equity,GFA US Equity,2388 HK Equity,1 HK Equity,939 HK Equity
2016-01-11,15.31,80.77,25.27,41.12,28.58,165.73,58.83,97.57,52.3,97.44,76.67,64.83,733.07,446.4,1020,3036,4255.5,942,3648.5,3837,5345,1101,73.43,589.5,68.93,437.7,1991,3200,1363.5,1160,1697,2647,2763,220.8,1453,12.77,13.73,0.9297,13.74,11.16,3.8263,1.09,21.9,97.95,4.92
2016-01-12,15.31,82.15,25.35,40.25,28.64,165.71,58.96,98.24,52.78,97.62,76.51,64.74,745.34,452.6,1026,3049,4324,954.5,3698,3907,5320,1133,72,598.5,69.3,441.7,2009,3229,1371,1176,1652,2683,2827.5,221.3,1483,12.58,13.89,0.9294,13.22,11.27,3.9,1.08,22.3,97,4.89
2016-01-13,14.9,81.33,24.6,39,28.24,158.99,57.34,97.02,51.64,96.5,75.85,63.95,719.57,459.6,1043,3041,4396.5,991,3721,3899,5340,1143,71.87,589.5,67.8,429.8,2009,3160,1384,1180,1683.5,2682,2860.5,222.5,1477,12.36,13.55,0.8574,12.79,11.14,3.4269,1.06,22.25,99.05,4.89
2016-01-14,14.99,85.47,24.66,41.25,29.06,161.39,58.2,98.89,53.11,95.81,76.15,64.68,731.39,448.2,997,3019,4323,974.5,3639.5,3649,5230,1132,78.62,564,66.53,406.7,1940,3052,1373,1171,1735,2593,2820,220.2,1446,12.37,13.92,0.885,12.49,11,3,1.06,22.2,97.9,4.82
2016-01-15,14.46,83.67,23.62,39.36,28.49,155.61,57.04,97,50.99,93.93,74.98,63.01,710.49,433,960,2986,4230,944.5,3595,3607,5140,1129,73.5,551,64.71,406.8,1917,2971,1337,1159,1643.5,2547,2798.5,216.25,1435,11.8,13.58,0.85,12.24,10.91,3,1,21.7,97.55,4.73
2016-01-16,14.46,83.67,23.62,39.36,28.49,155.61,57.04,97,50.99,93.93,74.98,63.01,710.49,433,960,2986,4230,944.5,3595,3607,5140,1129,73.5,551,64.71,406.8,1917,2971,1337,1159,1643.5,2547,2798.5,216.25,1435,11.8,13.58,0.85,12.24,10.91,3,1,21.7,97.55,4.73
2016-01-17,14.46,83.67,23.62,39.36,28.49,155.61,57.04,97,50.99,93.93,74.98,63.01,710.49,433,960,2986,4230,944.5,3595,3607,5140,1129,73.5,551,64.71,406.8,1917,2971,1337,1159,1643.5,2547,2798.5,216.25,1435,11.8,13.58,0.85,12.24,10.91,3,1,21.7,97.55,4.73
2016-01-18,14.46,83.67,23.62,39.36,28.49,155.61,57.04,97,50.99,93.93,74.98,63.01,710.49,426.1,950,3002,4210.5,932.5,3612,3656,5005,1122,75.15,545.5,63.96,404.3,1884,2903,1346.5,1144,1632.5,2523,2843,213.45,1420,11.8,13.58,0.85,12.24,10.91,3,1,20.75,96.7,4.65
2016-01-19,14.24,81.51,23.85,36.4,28.49,156.82,57.01,97.5,50.56,95.77,76.73,62.82,719.08,431.4,968,3010,4312.5,949.5,3647,3733,5060,1152,78.98,561.5,65.78,410,1957,2932,1392.5,1165,1657,2590,2934,216.8,1447,11.62,13.48,0.83,12.08,10.8,2.675,1.02,21.05,96.5,4.74
2016-01-20,13.69,78.98,22.9,34.75,28,153.75,55.51,95.75,50.79,93.77,75.83,61.06,718.56,416,932.5,2922,4235.5,909,3565,3505,4973,1105,71.2,544.5,64.05,402.8,1892,2856,1321,1135,1577.5,2511,2832,209.85,1406,11.49,13.31,0.8644,12.12,10.42,2.8,0.9949,19.9,93.6,4.58
2016-01-21,13.36,81.05,22.9,36.91,28.59,151.65,55.25,95.94,50.48,94.47,76.72,61.45,726.67,426.8,957,2949,4271.5,916,3579.5,3619,4959,1123,82.25,552,64.7,401.6,1904,2851,1321,1146,1672,2589,2877,213.75,1424,11.24,13.14,0.8009,11.75,10.65,2.5,0.9881,19.42,93.2,4.49
2016-01-22,13.56,83.54,23.37,37.67,28.24,156.86,56.95,96.75,52.29,95.85,77.36,65.2,745.46,436,990,2995,4360.5,933.5,3625.5,3625,5035,1151,78.58,559,66.86,409,1911,2894,1325,1186,1653.5,2663,2919,219.45,1467,11.52,14.08,0.8454,11.83,10.89,2.6,1,20.15,94.55,4.57
2016-01-23,13.56,83.54,23.37,37.67,28.24,156.86,56.95,96.75,52.29,95.85,77.36,65.2,745.46,436,990,2995,4360.5,933.5,3625.5,3625,5035,1151,78.58,559,66.86,409,1911,2894,1325,1186,1653.5,2663,2919,219.45,1467,11.52,14.08,0.8454,11.83,10.89,2.6,1,20.15,94.55,4.57
2016-01-24,13.56,83.54,23.37,37.67,28.24,156.86,56.95,96.75,52.29,95.85,77.36,65.2,745.46,436,990,2995,4360.5,933.5,3625.5,3625,5035,1151,78.58,559,66.86,409,1911,2894,1325,1186,1653.5,2663,2919,219.45,1467,11.52,14.08,0.8454,11.83,10.89,2.6,1,20.15,94.55,4.57
2016-01-25,12.96,80.89,23.17,34.2,28.04,151.12,55.66,96.4,51.79,95.94,76.85,63.3,733.62,435.6,970,3021,4440.5,920,3657,3600,5085,1159,80.85,562,63.14,413,1948,2917,1300.5,1189,1609,2641,2950.5,218.5,1463,11.38,13.75,0.808,11.53,10.58,2.7,0.98,20.55,94.2,4.61
2016-01-26,13.31,84.12,23.72,35.35,28.31,154.45,57.08,101.18,52.17,96.32,78.81,65.33,733.79,435.1,964,3015,4415.5,920.5,3683,3568,5135,1153,87.1,561,64.73,407.8,1954,2851,1319,1173,1688.5,2650,2955.5,218.65,1463,11.36,13.71,0.8384,11.59,10.59,2.5,1.01,19.72,93.05,4.47
2016-01-27,13.36,83.29,23.43,36.21,28,153.72,57.04,102.16,51.22,95.94,78.8,65.55,717.58,439.6,965,3078,4473,924.5,3764,3616,5245,1161,92.03,552.5,64.92,409.8,1998,2872,1334.5,1199,1717,2677,3005,223.2,1481,11.36,13.87,0.84,11.46,10.6,2.5,1.03,19.76,93.15,4.55
2016-01-28,13.53,85.92,23.105,38.02,28.21,157.06,57.28,102.27,52.055,97.45,79.82,69.51,748.3,433.9,890,3050,4347,911,3768.5,3384,5270,1154,90.45,525.5,64.07,407.9,1970,2826,1321,1189,1700,2650,2966.5,215.3,1466,11.35,14.09,0.8452,11.45,10.32,2.625,1.05,19.78,94.5,4.62
2016-01-29,14.14,86.47,23.79,39.08,29.1,161.56,59.5,104.44,55.09,99.3,81.69,72.27,761.35,442,899,3150,4487.5,915,3897,3480,5405,1190,89.48,539.5,65.46,413.7,2036,2938,1367.5,1230,1714,2724,3085,223.9,1517,12.13,14.95,0.91,11.99,11.05,5.5,1.16,20.5,96.35,4.73
